"Group.1","home_wp","yards_gained","shotgun","no_huddle","qb_dropback","qb_scramble","rush_attempt","pass_attempt","penalty_yards","drive_play_count","drive_time_of_possession1","third_conversion1","fourth_conversion1","timeout","penalty"
"Adam Gase_2018",0.523667751469341,4.23065250379363,0.452380952380952,0.0873015873015873,0.412698412698413,0.0151515151515152,0.321699544764795,0.400606980273141,9.05217391304348,6.87454412837345,208.80889861415,0.375661375661376,0.272727272727273,67,116
"Adam Gase_2019",0.579108971039621,3.62041116005874,0.530898876404494,0.0498595505617977,0.45487894350697,0.0168539325842697,0.302496328928047,0.441262848751836,9.5188679245283,6.97595473833098,195.48090523338,0.351351351351351,0.333333333333333,54,107
"Adam Gase_2020",0.443176488255247,4.00580551523948,0.499651567944251,0.0634146341463415,0.44525018129079,0.0174216027874564,0.318577648766328,0.432510885341074,9.29126213592233,7.65708274894811,209.360448807854,0.421800947867299,0.153846153846154,53,104
"Andy Reid_2018",0.770265789812656,4.28270762229807,0.555858310626703,0.0294277929155313,0.467650397275823,0.0141689373297003,0.295790671217292,0.455631399317406,8.3489932885906,8.1784140969163,227.226872246696,0.440677966101695,0.65625,78,150
"Andy Reid_2019",0.623786922135814,4.36358725013506,0.571132953957579,0.0310398344542162,0.483836206896552,0.0274185204345577,0.294975688816856,0.459751485683414,8.36231884057971,8.16753381893861,229.155046826223,0.43921568627451,0.54054054054054,68,139
"Andy Reid_2020",0.642347530930849,4.56698564593301,0.54707233065442,0.0241102181400689,0.488636363636364,0.021239954075775,0.29366028708134,0.470095693779904,8.38181818181818,8.29347198151358,229.710571923743,0.45,0.733333333333333,66,111
"Anthony Lynn_2018",0.586832539357898,4.31941221964424,0.458179126572909,0.00666173205033309,0.439382239382239,0.0155440414507772,0.309358081979892,0.4276875483372,7.97959183673469,7.4527736131934,220.627436281859,0.401041666666667,0.666666666666667,60,99
"Anthony Lynn_2019",0.404964012227513,4.18348623853211,0.509875640087784,0.0336503291880029,0.45912910618793,0.013899049012436,0.295871559633028,0.448012232415902,8.86458333333333,7.78276877761414,220.916789396171,0.446700507614213,0.666666666666667,59,97
"Anthony Lynn_2020",0.545131223767178,4.09078014184397,0.509870660313138,0.0394826412525528,0.475177304964539,0.0265486725663717,0.305673758865248,0.453191489361702,8.13186813186813,8.34407128169979,221.791638108293,0.47085201793722,0.523809523809524,64,92
"Bill Belichick_2018",0.827237246615583,4.29604022627278,0.447797223898612,0.0694025347012674,0.454830614805521,0.00965600482800241,0.30923947203017,0.446260213702074,8.39795918367347,7.29300911854103,195.247416413374,0.392857142857143,0.476190476190476,60,99
"Bill Belichick_2019",0.671303875347084,3.80317040951123,0.460468058191018,0.0404807084123972,0.443931398416887,0.0113851992409867,0.305812417437252,0.433949801849406,8.48598130841122,7.04971319311663,197.363926067559,0.31304347826087,0.318181818181818,66,108
"Bill Belichick_2020",0.501770865164942,4.21662669864109,0.451908396946565,0.112213740458015,0.396964856230032,0.0198473282442748,0.393285371702638,0.378097521982414,8.74242424242424,7.98310291858679,232.927803379416,0.382022471910112,0.692307692307692,56,67
"Bill Callahan_2019",0.395328176404465,3.97854588796186,0.462857142857143,0.0617142857142857,0.430274135876043,0.0194285714285714,0.32896305125149,0.410011918951132,8.26229508196721,7.50689655172414,220.777011494253,0.455882352941177,0.4,40,62
"Bill O'Brien_2018",0.580450338767025,4.21132323897301,0.534298300818125,0.000629326620516048,0.463558765594222,0.0371302706104468,0.309414088215932,0.4312047399605,8.36363636363636,7.03557814485388,198.189961880559,0.369747899159664,0.555555555555556,67,111
"Bill O'Brien_2019",0.502494446031615,4.23830877642537,0.540540540540541,0.000614250614250614,0.449136276391555,0.0300982800982801,0.32222934016656,0.425368353619475,7.96747967479675,7.70235148514851,212.264851485149,0.483333333333333,0.5,72,124
"Bill O'Brien_2020",0.220072154492198,4.51197604790419,0.514367816091954,0.0574712643678161,0.422155688622754,0.0373563218390805,0.359281437125749,0.38622754491018,7.23076923076923,7.8757225433526,214.511560693642,0.340425531914894,0.666666666666667,18,14
"Brian Flores_2019",0.412043068828239,3.97909407665505,0.517056856187291,0.0735785953177258,0.458594293667363,0.00936454849498328,0.281533101045296,0.453658536585366,8.76851851851852,7.31111111111111,199.608754208754,0.373205741626794,0.695652173913043,72,109
"Brian Flores_2020",0.589949171205643,4.13206162876009,0.566315789473684,0.107368421052632,0.46705710102489,0.0189473684210526,0.302274394717535,0.451210564930301,7.94594594594595,7.25601131541726,198.536775106082,0.346938775510204,0.6,70,75
"Bruce Arians_2019",0.411039709689325,4.06505190311419,0.48202396804261,0.0366178428761651,0.498269896193772,0.0213049267643142,0.264359861591695,0.479584775086505,9.23893805309734,7.26139410187668,192.010053619303,0.377272727272727,0.590909090909091,59,114
"Bruce Arians_2020",0.571535475395307,4.28094302554028,0.474246231155779,0.0351758793969849,0.486592544146501,0.010678391959799,0.276358873608382,0.478061558611657,9.53,7.54235145385588,211.42414664981,0.434389140271493,0.5,63,101
"Dan Quinn_2018",0.616887121433887,4.56989247311828,0.439477303988996,0.031636863823934,0.46957766642806,0.015818431911967,0.278853046594982,0.455913978494624,9.21276595744681,7.62109646079112,211.192921582235,0.487179487179487,0.727272727272727,67,95
"Dan Quinn_2019",0.42278008645971,4.11933007676204,0.450033534540577,0.0482897384305835,0.489895470383275,0.0187793427230047,0.274249825540823,0.473831123517097,7.97247706422018,7.41081081081081,188.941216216216,0.370731707317073,0.590909090909091,65,110
"Dan Quinn_2020",0.462046190556411,4.56648451730419,0.443280977312391,0.0453752181500873,0.486338797814208,0.0104712041884817,0.258652094717668,0.480874316939891,9.38888888888889,7.52724077328647,198.499121265378,0.394736842105263,0.375,28,37
"Darrell Bevell_2020",0.289021695857589,4.60153256704981,0.405156537753223,0.0368324125230203,0.461685823754789,0.0184162062615101,0.268199233716475,0.446360153256705,7.95652173913043,7.69573283858998,221.243042671614,0.421875,0.666666666666667,26,47
"Dirk Koetter_2018",0.611722088937906,4.38101884159107,0.486250838363514,0.0596914822266935,0.488485694347523,0.0268276324614353,0.273551988834613,0.461270062805304,9.22047244094488,7.08051420838972,190.941136671177,0.397849462365591,0.545454545454545,76,128
"Doug Marrone_2018",0.590685001341935,3.53904473085671,0.506181818181818,0.0210909090909091,0.481425322213798,0.0421818181818182,0.310841546626232,0.43972706595906,8.75789473684211,7.25421245421245,206.710622710623,0.405982905982906,0.181818181818182,63,96
"Doug Marrone_2019",0.434155841809211,4.14710365853659,0.501089324618736,0.037763253449528,0.477996965098634,0.0268700072621641,0.295731707317073,0.454268292682927,8.61818181818182,7.26388888888889,211.948099415205,0.399014778325123,0.315789473684211,52,111
"Doug Marrone_2020",0.26836030752447,4.21823617339312,0.48780487804878,0.0530846484935438,0.465620328849028,0.0193687230989957,0.309417040358744,0.446188340807175,9.98,7.30513376717281,205.770788141721,0.405,0.458333333333333,51,101
